id,escolas_postos,bairro,endereco,lat,lon,subprefeitura,quantidade
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO SEM NUMERO,-22.97174,-43.69735,ZONA OESTE,342.0
319,EM MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME SEM NUMERO,-22.92485,-43.63289,ZONA OESTE,537.0
246,EM FERNANDO AZEVEDO,SANTA CRUZ,"RUA DAS PALMEIRAS IMPERIAIS, SEM NUMERO",-22.92307,-43.69233,ZONA OESTE,459.0
560,EM ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO 750,-22.92139,-43.68058,ZONA OESTE,308.0
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,"RUA CABO SAULO DE VASCONCELOS, SEM NUMERO",-22.88855,-43.63805,ZONA OESTE,207.0
323,CIEP ISMAEL NERY,SANTA CRUZ,"AVENIDA CESARIO DE MELO, SEM NUMERO",-22.93416,-43.66213,ZONA OESTE,106.0
139,EM JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO 138 ,-22.91959,-43.54684,ZONA OESTE,316.0
52,E.M PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA SEM NUMERO,-22.90859,-43.58474,ZONA OESTE,330.0
342,E.M FERNANDO COSTA,CAMPO GRANDE,"RUA JOSE ALBANO, SEM NUMERO",-22.89036,-43.59399,ZONA OESTE,296.0
534,EM CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM SEM NUMERO KM 10 MENDANHA,-22.85878,-43.53705,ZONA OESTE,157.0
144,EM ALFREDO CESARIO ALVIM,CAMPO GRANDE,"RUA RIO DA PRATA, R. LUISA MARILAC, 20",-22.92315,-43.51877,ZONA OESTE,99.0
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,"RUA PEQUIA, 97 ",-22.91097,-43.61605,ZONA OESTE,479.0
616,CIEP PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,"RUA CONCHAS, SEM NUMERO ",-22.8873,-43.58736,ZONA OESTE,372.0
262,CIEP HERIVELTO MARTINS,AUGUSTO VASCONCELOS,"PRACA SANTO ANASTACIO, SEM NUMERO",-22.88649,-43.5288,,221.0
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA SEM NUMERO ,-22.92529,-43.56665,ZONA OESTE,591.0
399,CIEP CLEMENTINA DE JESUS,CAMPO GRANDE,AVENIDA ALHAMBRA SEM NUMERO ,-22.92529,-43.56665,ZONA OESTE,71.0
568,EM VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES 604,-22.88908,-43.39248,GRANDE BANGU,362.0
